stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Fryderyk\Projects\labirynt\Labirynt\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [  78.61419] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61422] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61423] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61426] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61427] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61429] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61431] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61433] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61435] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61437] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61439] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61441] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61443] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61445] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61448] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61450] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61452] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61454] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61456] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61458] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61460] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61462] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61464] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61466] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61468] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [  78.61470] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [  78.61472] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61474] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61476] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61478] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61480] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61483] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61484] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [  78.61487] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [  78.61490] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
